,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Harrison Butker,KAN,2,2,2,2,0,0,,0
1,Tommy Townsend,KAN,,,,,2,101,50.5,58
4,Brandon McManus,DEN,3,3,1,1,0,0,,0
5,Sam Martin,DEN,,,,,3,145,48.3,65
