,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,AJ Dillon,GNB,14,63,3,38,2.7,25,1.8,1,14.0
1,Patrick Taylor,GNB,11,53,3,29,2.6,24,2.2,1,11.0
2,Jordan Love,GNB,1,-1,0,-1,-1.0,0,0.0,0,
3,Aaron Rodgers,GNB,1,7,0,7,7.0,0,0.0,0,
5,Jamaal Williams,DET,13,43,4,25,1.9,18,1.4,0,
6,D'Andre Swift,DET,7,30,2,22,3.1,8,1.1,0,
7,Craig Reynolds,DET,3,2,,-1,-0.3,3,1.0,0,
8,Tim Boyle,DET,1,-1,,-1,-1.0,0,0.0,0,
9,Kalif Raymond,DET,1,13,1,9,9.0,4,4.0,0,
10,Amon-Ra St. Brown,DET,1,12,0,12,12.0,0,0.0,0,
