,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Rashaad Penny,SEA,23,190,7,80,3.5,110,4.8,1,23.0
1,Russell Wilson,SEA,4,5,2,3,0.8,2,0.5,0,
2,DeeJay Dallas,SEA,1,1,,1,1.0,0,0.0,0,
3,Travis Homer,SEA,1,4,0,3,3.0,1,1.0,0,
4,Tyler Lockett,SEA,1,2,0,2,2.0,0,0.0,0,
6,James Conner,ARI,15,52,5,33,2.2,19,1.3,0,
7,Eno Benjamin,ARI,7,31,3,18,2.6,13,1.9,0,
8,Kyler Murray,ARI,5,35,1,27,5.4,8,1.6,0,
9,Andy Lee,ARI,1,0,,0,0.0,0,0.0,0,
