,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Keelan Cole,NYJ,1,7,7.0,0,7,1,3,3.0,0,3
1,Javin White,NYJ,0,0,,0,0,1,2,2.0,0,2
4,Micah Hyde,BUF,0,0,,0,0,3,29,9.7,0,17
5,Isaiah McKenzie,BUF,0,0,,0,0,2,-1,-0.5,0,0
