,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Lirim Hajrullahu,CAR,2,2,1,1,0,0,,0
1,Lac Edwards,CAR,,,,,2,85,42.5,50
4,Ryan Succop,TAM,5,5,2,3,0,0,,0
5,Bradley Pinion,TAM,,,,,3,133,44.3,46
