,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Mason Crosby,GNB,1,2,1,1,0,0,,0
1,Corey Bojorquez,GNB,,,,,1,35,35.0,35
4,Riley Patterson,DET,4,4,3,3,0,0,,0
5,Jack Fox,DET,,,,,2,97,48.5,67
