,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Damien Harris,NWE,11,37,4,18,1.6,19,1.7,2,5.5
1,Brandon Bolden,NWE,7,46,3,5,0.7,41,5.9,0,
2,Rhamondre Stevenson,NWE,4,34,1,4,1.0,30,7.5,0,
3,Mac Jones,NWE,3,4,1,1,0.3,3,1.0,0,
4,Kendrick Bourne,NWE,1,8,1,8,8.0,0,0.0,0,
5,Jonnu Smith,NWE,1,5,1,0,0.0,5,5.0,0,
7,Duke Johnson,MIA,25,117,5,38,1.5,79,3.2,3,8.3
8,Phillip Lindsay,MIA,11,40,2,17,1.5,23,2.1,1,11.0
9,Tua Tagovailoa,MIA,5,38,5,26,5.2,12,2.4,0,
10,Myles Gaskin,MIA,1,-1,0,-1,-1.0,0,0.0,0,
11,Michael Palardy,MIA,1,1,,1,1.0,0,0.0,0,
