,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Freddie Swain,SEA,0,0,,0,0,2,20,10.0,0,13
3,Darrell Daniels,ARI,1,6,6.0,0,6,0,0,,0,0
4,Greg Dortch,ARI,1,14,14.0,0,14,0,0,,0,0
