,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Benny Snell Jr.,PIT,12,22,1,9,0.8,13,1.1,0,
1,Najee Harris,PIT,11,28,1,9,0.8,19,1.7,1,11.0
2,Chase Claypool,PIT,3,33,3,30,10.0,3,1.0,0,
3,Ben Roethlisberger,PIT,3,-4,0,-4,-1.3,0,0.0,0,
4,Kalen Ballage,PIT,1,0,,0,0.0,0,0.0,0,
6,Latavius Murray,BAL,16,150,7,91,5.7,59,3.7,2,8.0
7,Tyler Huntley,BAL,12,72,6,55,4.6,17,1.4,2,6.0
8,Devonta Freeman,BAL,5,21,1,19,3.8,2,0.4,1,5.0
9,Mark Andrews,BAL,1,0,0,0,0.0,0,0.0,0,
10,Devin Duvernay,BAL,1,2,,2,2.0,0,0.0,0,
11,Ty'Son Williams,BAL,1,4,,3,3.0,1,1.0,0,
