,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Andre Roberts,LAC,2,47,23.5,0,24,2,4,2.0,0,4
3,Hunter Renfrow,LVR,0,0,,0,0,3,32,10.7,0,13
4,Tyron Johnson,LVR,2,40,20.0,0,22,0,0,,0,0
