,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,DeAndre Carter,WAS,2,33,16.5,0,22,4,23,5.8,0,12
3,Alex Bachman,NYG,4,94,23.5,0,27,1,16,16.0,0,16
