,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Amari Rodgers,GNB,2,48,24.0,0,25,1,23,23.0,0,23
3,Godwin Igwebuike,DET,1,25,25.0,0,25,0,0,,0,0
