,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Rex Burkhead,HOU,16,41,3,24,1.5,17,1.1,1,16.0
1,David Johnson,HOU,6,24,0,10,1.7,14,2.3,0,
2,Royce Freeman,HOU,3,8,,3,1.0,5,1.7,0,
3,Davis Mills,HOU,1,2,1,1,1.0,1,1.0,0,
5,James Robinson,JAX,18,75,3,48,2.7,27,1.5,1,18.0
6,Trevor Lawrence,JAX,5,21,2,18,3.6,3,0.6,0,
7,Dare Ogunbowale,JAX,1,1,,1,1.0,0,0.0,0,
8,Laviska Shenault Jr.,JAX,1,10,1,4,4.0,6,6.0,0,
