,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Michael Carter,NYJ,8,18,0,-5,-0.6,23,2.9,3,2.7
1,Tevin Coleman,NYJ,8,50,3,16,2.0,34,4.3,0,
2,Zach Wilson,NYJ,4,12,2,10,2.5,2,0.5,0,
3,Braxton Berrios,NYJ,2,10,1,6,3.0,4,2.0,0,
4,Austin Walter,NYJ,2,12,,8,4.0,4,2.0,0,
6,Duke Johnson,MIA,22,107,9,38,1.7,69,3.1,2,11.0
7,Myles Gaskin,MIA,10,54,2,11,1.1,43,4.3,1,10.0
8,Tua Tagovailoa,MIA,7,19,0,15,2.1,4,0.6,0,
9,Jacoby Brissett,MIA,1,2,1,1,1.0,1,1.0,0,
10,Clayton Fejedelem,MIA,1,0,,0,0.0,0,0.0,0,
11,Albert Wilson,MIA,1,1,0,0,0.0,1,1.0,1,1.0
