,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Brian Johnson,WAS,2,2,1,1,0,0,,0
1,Tress Way,WAS,,,,,5,240,48.0,60
4,Jake Elliott,PHI,3,3,2,2,0,0,,0
5,Arryn Siposs,PHI,,,,,2,75,37.5,41
