,Player,Tm,PassCmp,PassAtt,PassYds,Pass1D,Pass1D%,PassIAY,PassIAY/PA,PassCAY,PassCAY/Cmp,PassCAY/PA,PassYAC,PassYAC/Cmp,PassDropPass,PassDropPass%,PassBadTh,PassBad%,PassSk,PassBlitz,PassHrry,PassHit,PassPrss,PassPrss%,PassScrm,PassYds/Scr
0,Kyler Murray,ARI,23,41,257,13,30.2,311,7.6,120,5.2,2.9,137,6.0,4,10.5%,4,10.5%,2,11,3,1,6,14.0%,0,
1,Colt McCoy,ARI,6,9,56,3,33.3,39,4.3,23,3.8,2.6,33,5.5,0,0.0%,1,11.1%,0,2,0,0,0,0.0%,1,3.0
3,Jared Goff,DET,21,26,216,13,46.4,161,6.2,122,5.8,4.7,94,4.5,0,0.0%,3,11.5%,2,9,2,3,7,25.0%,0,
