,Player,Tm,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_1D,Re_YBC,Re_YBC/R,Re_YAC,Re_YAC/R,Re_ADOT,Re_BrkTkl,Rec/Br,Re_Drop,Re_DropPass%,Re_Int,Re_PassRating
0,Hunter Henry,NWE,8,6,77,2,6,62,10.3,15,2.5,9.8,0,,0,0.0,1,104.7
1,Jakobi Meyers,NWE,12,6,44,0,3,32,5.3,12,2.0,10.2,0,,1,8.3,0,59.0
2,Nelson Agholor,NWE,6,4,34,0,1,34,8.5,0,0.0,14.3,0,,0,0.0,0,81.2
3,Brandon Bolden,NWE,5,3,41,0,2,-4,-1.3,45,15.0,0.6,1,3.0,0,0.0,1,46.7
4,Kendrick Bourne,NWE,3,3,44,0,2,41,13.7,3,1.0,13.7,0,,0,0.0,0,118.7
5,N'Keal Harry,NWE,5,2,52,0,1,48,24.0,4,2.0,17.2,0,,0,0.0,0,78.7
6,Jonnu Smith,NWE,3,1,3,0,,3,3.0,0,0.0,14.0,0,,0,0.0,0,42.4
7,Rhamondre Stevenson,NWE,1,1,4,0,0,-5,-5.0,9,9.0,-5.0,0,,0,0.0,0,83.3
8,Gunner Olszewski,NWE,1,0,0,0,,0,,0,,12.0,0,,0,0.0,0,39.6
10,Jack Doyle,IND,1,1,0,0,,0,0.0,0,0.0,0.0,0,,0,0.0,0,79.2
11,T.Y. Hilton,IND,1,1,19,0,1,5,5.0,14,14.0,5.0,0,,0,0.0,0,118.7
12,Nyheim Hines,IND,2,1,8,1,1,-4,-4.0,12,12.0,-0.5,0,,0,0.0,0,100.0
13,Zach Pascal,IND,2,1,23,0,1,21,21.0,2,2.0,14.0,0,,0,0.0,1,52.1
14,Michael Pittman Jr.,IND,5,1,7,0,,5,5.0,2,2.0,14.6,0,,0,0.0,0,39.6
15,Mo Alie-Cox,IND,1,0,0,0,,0,,0,,7.0,0,,1,100.0,0,39.6
