,Player,Tm,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_1D,Re_YBC,Re_YBC/R,Re_YAC,Re_YAC/R,Re_ADOT,Re_BrkTkl,Rec/Br,Re_Drop,Re_DropPass%,Re_Int,Re_PassRating
0,Antonio Gibson,WAS,7,6,39,0,1,-9,-1.5,48,8.0,-1.9,1,6.0,0,0.0,0,89.9
1,Ricky Seals-Jones,WAS,7,4,29,0,,11,2.8,18,4.5,7.0,0,,0,0.0,0,67.0
2,Adam Humphries,WAS,6,3,23,0,2,20,6.7,3,1.0,3.7,0,,1,16.7,0,59.7
3,DeAndre Carter,WAS,3,2,12,0,1,1,0.5,11,5.5,2.0,0,,0,0.0,0,74.3
4,Terry McLaurin,WAS,4,2,51,0,2,48,24.0,3,1.5,24.0,0,,0,0.0,0,95.8
5,John Bates,WAS,1,1,29,0,1,15,15.0,14,14.0,15.0,0,,0,0.0,0,118.7
6,Dax Milne,WAS,1,1,-2,0,,-2,-2.0,0,0.0,-2.0,0,,0,0.0,0,79.2
7,Cam Sims,WAS,1,1,13,0,1,13,13.0,0,0.0,13.0,0,,0,0.0,0,118.7
9,Dallas Goedert,PHI,9,7,135,0,6,99,14.1,36,5.1,11.1,1,7.0,2,22.2,1,79.2
10,Jalen Reagor,PHI,3,3,57,0,2,14,4.7,43,14.3,4.7,0,,0,0.0,0,118.7
11,DeVonta Smith,PHI,5,3,40,0,1,37,12.3,3,1.0,18.0,0,,0,0.0,0,85.4
12,Miles Sanders,PHI,2,2,15,0,1,-3,-1.5,18,9.0,-1.5,0,,0,0.0,0,97.9
13,Greg Ward,PHI,3,2,28,1,1,16,8.0,12,6.0,5.7,0,,0,0.0,0,136.1
14,Quez Watkins,PHI,2,2,14,0,1,13,6.5,1,0.5,6.5,0,,0,0.0,0,95.8
15,Jack Stoll,PHI,1,1,7,0,,4,4.0,3,3.0,4.0,0,,0,0.0,0,95.8
16,Kenneth Gainwell,PHI,1,0,0,0,,0,,0,,0.0,0,,1,100.0,0,39.6
