,Player,Tm,PassCmp,PassAtt,PassYds,Pass1D,Pass1D%,PassIAY,PassIAY/PA,PassCAY,PassCAY/Cmp,PassCAY/PA,PassYAC,PassYAC/Cmp,PassDropPass,PassDropPass%,PassBadTh,PassBad%,PassSk,PassBlitz,PassHrry,PassHit,PassPrss,PassPrss%,PassScrm,PassYds/Scr
0,Davis Mills,HOU,19,30,209,8,25.8,211,7.0,101,5.3,3.4,108,5.7,1,3.3%,5,16.7%,1,11,1,2,4,12.9%,0,
2,Trevor Lawrence,JAX,22,38,210,12,29.3,262,6.9,112,5.1,2.9,98,4.5,5,13.9%,6,16.7%,3,5,2,1,6,14.3%,1,10.0
