,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Clyde Edwards-Helaire,KAN,9,32,0,20,2.2,12,1.3,0,
1,Darrel Williams,KAN,5,12,1,9,1.8,3,0.6,0,
2,Patrick Mahomes,KAN,3,32,1,31,10.3,1,0.3,0,
3,Blake Bell,KAN,1,3,1,3,3.0,0,0.0,0,
4,Michael Burton,KAN,1,7,1,3,3.0,4,4.0,0,
5,Mecole Hardman,KAN,1,0,,0,0.0,0,0.0,0,
7,Justin Jackson,LAC,13,86,6,53,4.1,33,2.5,0,
8,Austin Ekeler,LAC,12,59,4,27,2.3,32,2.7,0,
9,Joshua Kelley,LAC,7,21,1,14,2.0,7,1.0,0,
10,Justin Herbert,LAC,5,16,3,15,3.0,1,0.2,0,
11,Gabe Nabers,LAC,1,4,,3,3.0,1,1.0,0,
12,Andre Roberts,LAC,1,6,,4,4.0,2,2.0,0,
