,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Alex Erickson,CAR,0,0,,0,0,1,16,16.0,0,16
1,Ameer Abdullah,CAR,4,70,17.5,0,21,0,0,,0,0
4,Marquez Stevenson,BUF,1,13,13.0,0,13,2,31,15.5,0,17
5,Isaiah McKenzie,BUF,2,36,18.0,0,28,0,0,,0,0
