,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Lac Edwards,CAR,,,,,4,182,45.5,54
3,Tyler Bass,BUF,4,4,1,1,0,0,,0
4,Matt Haack,BUF,,,,,5,188,37.6,43
