,Player,Tm,PassCmp,PassAtt,PassYds,Pass1D,Pass1D%,PassIAY,PassIAY/PA,PassCAY,PassCAY/Cmp,PassCAY/PA,PassYAC,PassYAC/Cmp,PassDropPass,PassDropPass%,PassBadTh,PassBad%,PassSk,PassBlitz,PassHrry,PassHit,PassPrss,PassPrss%,PassScrm,PassYds/Scr
0,Matt Ryan,ATL,19,32,236,8,22.9,254,7.9,179,9.4,5.6,57,3.0,3,10.0%,3,10.0%,3,5,3,7,13,33.3%,4,4.5
2,Jimmy Garoppolo,SFO,18,23,235,11,47.8,132,5.7,87,4.8,3.8,148,8.2,2,8.7%,2,8.7%,0,4,0,3,3,13.0%,0,
3,Deebo Samuel,SFO,0,1,0,0,0.0,15,15.0,0,,0.0,0,,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,
