,Player,Tm,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_1D,Re_YBC,Re_YBC/R,Re_YAC,Re_YAC/R,Re_ADOT,Re_BrkTkl,Rec/Br,Re_Drop,Re_DropPass%,Re_Int,Re_PassRating
0,Davante Adams,GNB,7,6,44,1,5,12,2.0,32,5.3,5.3,0,,0,0.0,0,132.4
1,Marquez Valdes-Scantling,GNB,7,5,98,1,5,71,14.2,27,5.4,22.0,0,,0,0.0,0,153.3
2,Josiah Deguara,GNB,5,3,16,0,2,-1,-0.3,17,5.7,2.0,0,,1,20.0,0,65.4
3,Marcedes Lewis,GNB,3,3,40,0,2,7,2.3,33,11.0,2.3,3,1.0,0,0.0,0,118.7
4,Allen Lazard,GNB,4,2,23,0,2,19,9.5,4,2.0,10.3,0,,0,0.0,0,67.7
5,Aaron Jones,GNB,2,2,12,1,2,9,4.5,3,1.5,4.5,0,,0,0.0,0,131.2
6,Tyler Davis,GNB,1,1,22,0,1,18,18.0,4,4.0,18.0,0,,0,0.0,0,118.7
7,AJ Dillon,GNB,1,1,13,0,1,0,0.0,13,13.0,0.0,1,1.0,0,0.0,0,118.7
8,Juwann Winfree,GNB,1,0,0,0,,0,,0,,10.0,0,,0,0.0,0,39.6
10,Mark Andrews,BAL,13,10,136,2,10,78,7.8,58,5.8,9.9,1,10.0,0,0.0,0,149.4
11,Marquise Brown,BAL,14,10,43,0,,28,2.8,15,1.5,4.3,0,,0,0.0,0,74.4
12,Devin Duvernay,BAL,3,3,13,0,1,5,1.7,8,2.7,1.7,0,,0,0.0,0,84.7
13,Devonta Freeman,BAL,1,1,2,0,,1,1.0,1,1.0,1.0,0,,0,0.0,0,79.2
14,Latavius Murray,BAL,3,1,3,0,0,-1,-1.0,4,4.0,-1.7,0,,0,0.0,0,42.4
15,James Proche,BAL,1,1,8,0,1,8,8.0,0,0.0,8.0,0,,0,0.0,0,100.0
16,Tylan Wallace,BAL,2,1,5,0,,5,5.0,0,0.0,0.5,0,,0,0.0,0,56.2
17,Rashod Bateman,BAL,2,1,5,0,,5,5.0,0,0.0,22.0,0,,0,0.0,0,56.2
