,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,James Conner,ARI,8,39,3,17,2.1,22,2.8,2,4.0
1,Chase Edmonds,ARI,6,53,2,34,5.7,19,3.2,1,6.0
2,Kyler Murray,ARI,4,3,0,3,0.8,0,0.0,0,
3,Colt McCoy,ARI,1,3,1,3,3.0,0,0.0,0,
4,Rondale Moore,ARI,1,1,0,1,1.0,0,0.0,0,
5,Jonathan Ward,ARI,1,6,,3,3.0,3,3.0,0,
7,Craig Reynolds,DET,26,112,5,54,2.1,58,2.2,2,13.0
8,Jermar Jefferson,DET,5,9,,4,0.8,5,1.0,0,
9,Godwin Igwebuike,DET,2,0,0,0,0.0,0,0.0,0,
10,Amon-Ra St. Brown,DET,1,5,0,3,3.0,2,2.0,0,
