,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Corey Clement,DAL,2,50,25.0,0,29,0,0,,0,0
3,Pharoh Cooper,NYG,1,15,15.0,0,15,0,0,,0,0
