,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Myles Gaskin,MIA,5,25,2,20,4.0,5,1.0,0,
1,Salvon Ahmed,MIA,2,5,0,1,0.5,4,2.0,1,2.0
2,Jaylen Waddle,MIA,1,2,0,1,1.0,1,1.0,0,
3,Preston Williams,MIA,1,7,0,3,3.0,4,4.0,1,1.0
5,Leonard Fournette,TAM,12,67,3,28,2.3,39,3.3,0,
6,Ronald Jones II,TAM,5,21,0,14,2.8,7,1.4,0,
7,Giovani Bernard,TAM,4,21,1,9,2.3,12,3.0,0,
8,Blaine Gabbert,TAM,3,-1,0,-1,-0.3,0,0.0,0,
9,Tom Brady,TAM,1,13,1,11,11.0,2,2.0,0,
