,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Devontae Booker,NYG,16,42,2,27,1.7,15,0.9,2,8.0
1,Daniel Jones,NYG,3,9,1,8,2.7,1,0.3,0,
2,Saquon Barkley,NYG,2,9,,6,3.0,3,1.5,0,
3,Mike Glennon,NYG,2,2,0,2,1.0,0,0.0,0,
4,Elijhaa Penny,NYG,1,4,,2,2.0,2,2.0,0,
5,Kadarius Toney,NYG,1,7,0,7,7.0,0,0.0,0,
7,Ezekiel Elliott,DAL,21,110,6,70,3.3,40,1.9,0,
8,Tony Pollard,DAL,14,75,3,46,3.3,29,2.1,0,
9,Dak Prescott,DAL,2,6,0,6,3.0,0,0.0,0,
10,CeeDee Lamb,DAL,1,4,0,1,1.0,3,3.0,0,
11,Cedrick Wilson Jr.,DAL,1,6,1,6,6.0,0,0.0,0,
