,Player,Tm,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_1D,Re_YBC,Re_YBC/R,Re_YAC,Re_YAC/R,Re_ADOT,Re_BrkTkl,Rec/Br,Re_Drop,Re_DropPass%,Re_Int,Re_PassRating
0,Kadarius Toney,NYG,13,10,189,0,8,98,9.8,91,9.1,9.5,0,,0,0.0,0,118.3
1,Evan Engram,NYG,4,4,55,0,4,41,10.3,14,3.5,10.3,0,,0,0.0,0,118.7
2,Devontae Booker,NYG,4,3,16,1,1,-3,-1.0,19,6.3,-1.8,0,,1,25.0,0,120.8
3,C.J. Board,NYG,3,2,7,0,1,-2,-1.0,9,4.5,16.7,0,,0,0.0,1,30.6
4,John Ross,NYG,5,1,13,0,,13,13.0,0,0.0,19.0,0,,1,20.0,0,39.6
5,Kyle Rudolph,NYG,1,1,14,0,1,14,14.0,0,0.0,14.0,0,,0,0.0,0,118.7
6,Saquon Barkley,NYG,1,0,0,0,,0,,0,,10.0,0,,0,0.0,0,39.6
7,Kenny Golladay,NYG,3,0,0,0,,0,,0,,13.7,0,,0,0.0,0,39.6
8,Collin Johnson,NYG,3,0,0,0,,0,,0,,7.7,0,,0,0.0,1,0.0
10,Dalton Schultz,DAL,8,6,79,0,3,59,9.8,20,3.3,9.5,0,,1,12.5,0,105.7
11,CeeDee Lamb,DAL,6,4,84,1,3,41,10.3,43,10.8,7.7,0,,0,0.0,0,149.3
12,Tony Pollard,DAL,4,4,28,0,1,-1,-0.3,29,7.3,-0.3,1,4.0,0,0.0,0,95.8
13,Noah Brown,DAL,4,3,36,0,1,30,10.0,6,2.0,11.0,1,3.0,0,0.0,0,102.1
14,Amari Cooper,DAL,6,3,60,1,3,60,20.0,0,0.0,16.5,0,,0,0.0,0,125.0
15,Ezekiel Elliott,DAL,3,2,2,1,1,-8,-4.0,10,5.0,-4.0,0,,0,0.0,1,70.1
16,Cedrick Wilson Jr.,DAL,1,1,35,0,1,35,35.0,0,0.0,35.0,0,,0,0.0,0,118.7
