,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Jake Elliott,PHI,1,1,2,2,0,0,,0
1,Arryn Siposs,PHI,,,,,6,276,46.0,64
4,Zane Gonzalez,CAR,1,1,3,3,1,40,40.0,40
5,Joseph Charlton,CAR,,,,,5,189,37.8,44
