,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Damien Harris,NWE,14,58,2,15,1.1,43,3.1,0,
1,Rhamondre Stevenson,NWE,11,23,1,7,0.6,16,1.5,0,
2,Brandon Bolden,NWE,2,25,1,19,9.5,6,3.0,0,
3,Kendrick Bourne,NWE,1,12,1,0,0.0,12,12.0,0,
4,Mac Jones,NWE,1,3,1,1,1.0,2,2.0,0,
5,Jonnu Smith,NWE,1,5,0,0,0.0,5,5.0,0,
7,Mark Ingram,HOU,16,41,1,16,1.0,25,1.6,0,
8,Phillip Lindsay,HOU,5,19,,13,2.6,6,1.2,0,
9,David Johnson,HOU,2,5,0,2,1.0,3,1.5,0,
10,Davis Mills,HOU,1,2,1,1,1.0,1,1.0,0,
