,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Jalen Reagor,PHI,2,46,23.0,0,27,1,22,22.0,0,22
3,Alex Erickson,CAR,2,57,28.5,0,39,3,39,13.0,0,22
4,D.J. Moore,CAR,1,13,13.0,0,13,0,0,,0,0
