,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Josh Allen,BUF,11,59,5,50,4.5,9,0.8,0,
1,Zack Moss,BUF,11,37,2,15,1.4,22,2.0,3,3.7
2,Devin Singletary,BUF,6,25,,10,1.7,15,2.5,0,
4,Patrick Mahomes,KAN,8,61,5,58,7.3,3,0.4,0,
5,Clyde Edwards-Helaire,KAN,7,13,1,6,0.9,7,1.0,0,
6,Darrel Williams,KAN,5,27,1,20,4.0,7,1.4,0,
7,Michael Burton,KAN,1,2,1,2,2.0,0,0.0,0,
8,Tyreek Hill,KAN,1,15,0,7,7.0,8,8.0,0,
9,Jerick McKinnon,KAN,1,2,,0,0.0,2,2.0,0,
