,Player,Tm,PassCmp,PassAtt,PassYds,Pass1D,Pass1D%,PassIAY,PassIAY/PA,PassCAY,PassCAY/Cmp,PassCAY/PA,PassYAC,PassYAC/Cmp,PassDropPass,PassDropPass%,PassBadTh,PassBad%,PassSk,PassBlitz,PassHrry,PassHit,PassPrss,PassPrss%,PassScrm,PassYds/Scr
0,Carson Wentz,IND,25,35,402,16,43.2,204,5.8,177,7.1,5.1,225,9.0,1,2.9%,5,14.7%,2,13,1,5,8,21.1%,1,4.0
2,Lamar Jackson,BAL,37,43,442,22,48.9,308,7.2,267,7.2,6.2,175,4.7,2,4.7%,3,7.0%,2,7,0,2,4,7.8%,6,7.3
