,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Leonard Fournette,TAM,11,47,3,27,2.5,20,1.8,0,
1,Giovani Bernard,TAM,1,4,1,3,3.0,1,1.0,0,
2,Tom Brady,TAM,1,2,1,2,2.0,0,0.0,0,
4,Antonio Gibson,WAS,24,64,7,31,1.3,33,1.4,1,24.0
5,Jaret Patterson,WAS,4,7,,5,1.3,2,0.5,0,
6,Taylor Heinicke,WAS,3,15,1,5,1.7,10,3.3,0,
7,J.D. McKissic,WAS,2,4,0,2,1.0,2,1.0,0,
8,DeAndre Carter,WAS,1,4,0,4,4.0,0,0.0,0,
