,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,D'Ernest Johnson,CLE,19,99,4,56,2.9,43,2.3,2,9.5
1,Johnny Stanton,CLE,1,0,,0,0.0,0,0.0,0,
3,Rhamondre Stevenson,NWE,20,100,7,45,2.3,55,2.8,3,6.7
4,J.J. Taylor,NWE,6,11,,5,0.8,6,1.0,0,
5,Brandon Bolden,NWE,3,32,1,25,8.3,7,2.3,0,
6,Kendrick Bourne,NWE,3,43,2,37,12.3,6,2.0,0,
7,Brian Hoyer,NWE,2,-2,0,-2,-1.0,0,0.0,0,
