,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Mike Hughes,KAN,0,0,,0,0,2,46,23.0,0,37
1,Byron Pringle,KAN,2,34,17.0,0,20,0,0,,0,0
4,Jalen Richard,LVR,3,60,20.0,0,23,0,0,,0,0
5,Kenyan Drake,LVR,1,19,19.0,0,19,0,0,,0,0
