,Player,Tm,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_1D,Re_YBC,Re_YBC/R,Re_YAC,Re_YAC/R,Re_ADOT,Re_BrkTkl,Rec/Br,Re_Drop,Re_DropPass%,Re_Int,Re_PassRating
0,Dan Arnold,JAX,8,5,67,0,2,39,7.8,28,5.6,8.0,0,,1,12.5,0,89.1
1,James Robinson,JAX,5,4,27,0,1,1,0.3,26,6.5,-1.0,0,,1,20.0,0,89.2
2,Laviska Shenault Jr.,JAX,8,3,15,0,1,6,2.0,9,3.0,8.1,0,,0,0.0,0,45.8
3,Marvin Jones,JAX,6,2,35,0,2,33,16.5,2,1.0,18.8,0,,0,0.0,0,54.2
4,Carlos Hyde,JAX,2,1,0,0,,-7,-7.0,7,7.0,1.5,0,,0,0.0,0,56.2
5,Laquon Treadwell,JAX,1,1,18,0,1,17,17.0,1,1.0,17.0,0,,0,0.0,0,118.7
6,Jamal Agnew,JAX,5,0,0,0,0,0,,0,,15.6,0,,1,20.0,0,39.6
8,Jonathan Taylor,IND,8,6,10,0,0,-9,-1.5,19,3.2,-0.9,0,,1,12.5,0,77.1
9,Michael Pittman Jr.,IND,5,5,71,0,4,52,10.4,19,3.8,10.4,0,,0,0.0,0,118.7
10,Jack Doyle,IND,5,3,31,0,1,10,3.3,21,7.0,6.2,0,,1,20.0,0,77.9
11,Nyheim Hines,IND,4,2,17,0,2,7,3.5,10,5.0,3.5,0,,0,0.0,0,61.5
12,Zach Pascal,IND,2,2,9,0,,0,0.0,9,4.5,0.0,0,,0,0.0,0,85.4
13,Mo Alie-Cox,IND,2,1,6,0,,5,5.0,1,1.0,5.0,0,,0,0.0,0,56.2
14,Ashton Dulin,IND,1,1,16,0,1,3,3.0,13,13.0,3.0,0,,0,0.0,0,118.7
15,Kylen Granson,IND,1,1,15,0,1,4,4.0,11,11.0,4.0,0,,0,0.0,0,118.7
16,T.Y. Hilton,IND,5,1,5,0,,5,5.0,0,0.0,12.0,0,,0,0.0,0,39.6
