,Player,Tm,PassCmp,PassAtt,PassYds,Pass1D,Pass1D%,PassIAY,PassIAY/PA,PassCAY,PassCAY/Cmp,PassCAY/PA,PassYAC,PassYAC/Cmp,PassDropPass,PassDropPass%,PassBadTh,PassBad%,PassSk,PassBlitz,PassHrry,PassHit,PassPrss,PassPrss%,PassScrm,PassYds/Scr
0,Trevor Siemian,NOR,19,34,298,13,34.2,291,8.6,183,9.6,5.4,115,6.1,2,6.1%,5,15.2%,4,9,2,1,7,18.4%,0,
1,Taysom Hill,NOR,2,2,11,1,50.0,6,3.0,6,3.0,3.0,5,2.5,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,
3,Ryan Tannehill,TEN,19,27,213,10,34.5,142,5.3,88,4.6,3.3,125,6.6,2,7.4%,3,11.1%,2,5,0,4,6,20.0%,1,2.0
