,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Mark Ingram,NOR,14,47,2,31,2.2,16,1.1,1,14.0
1,Taysom Hill,NOR,3,23,2,14,4.7,9,3.0,1,3.0
2,Dwayne Washington,NOR,2,8,,4,2.0,4,2.0,0,
3,Deonte Harris,NOR,1,6,0,3,3.0,3,3.0,0,
4,Ty Montgomery,NOR,1,2,1,1,1.0,1,1.0,0,
6,D'Onta Foreman,TEN,11,30,0,12,1.1,18,1.6,0,
7,Adrian Peterson,TEN,8,21,1,13,1.6,8,1.0,0,
8,Ryan Tannehill,TEN,5,1,2,-1,-0.2,2,0.4,0,
9,Jeremy McNichols,TEN,4,7,,5,1.3,2,0.5,0,
10,A.J. Brown,TEN,1,7,1,5,5.0,2,2.0,0,
