,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Jamal Agnew,JAX,5,101,20.2,0,25,4,30,7.5,0,10
3,Nyheim Hines,IND,0,0,,0,0,1,11,11.0,0,11
4,Isaiah Rodgers,IND,2,46,23.0,0,27,0,0,,0,0
5,Ashton Dulin,IND,1,26,26.0,0,26,0,0,,0,0
