,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Kalif Raymond,DET,0,0,,0,0,3,71,23.7,0,48
1,Godwin Igwebuike,DET,5,122,24.4,0,29,0,0,,0,0
4,Ray-Ray McCloud,PIT,2,35,17.5,0,21,6,54,9.0,0,13
