,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Harrison Butker,KAN,5,5,2,3,0,0,,0
1,Tommy Townsend,KAN,,,,,1,42,42.0,42
4,Daniel Carlson,LVR,2,2,,,0,0,,0
5,AJ Cole III,LVR,,,,,5,250,50.0,63
