,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Darrell Henderson,LAR,5,31,2,22,4.4,9,1.8,0,
1,Sony Michel,LAR,4,20,,12,3.0,8,2.0,0,
2,Matthew Stafford,LAR,1,1,0,1,1.0,0,0.0,0,
4,Elijah Mitchell,SFO,27,91,4,48,1.8,43,1.6,2,13.5
5,Jeff Wilson,SFO,10,28,2,10,1.0,18,1.8,0,
6,Deebo Samuel,SFO,5,36,3,24,4.8,12,2.4,1,5.0
7,Jimmy Garoppolo,SFO,2,1,1,1,0.5,0,0.0,0,
