,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Tyler Bass,BUF,6,6,1,1,0,0,,0
1,Matt Haack,BUF,,,,,2,78,39.0,41
4,Matt Ammendola,NYJ,2,2,1,1,0,0,,0
5,Braden Mann,NYJ,,,,,3,135,45.0,46
