,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Christian McCaffrey,CAR,13,95,6,56,4.3,39,3.0,1,13.0
1,Ameer Abdullah,CAR,9,24,2,9,1.0,15,1.7,0,
2,Chuba Hubbard,CAR,9,27,2,5,0.6,22,2.4,1,9.0
3,Cam Newton,CAR,3,14,2,11,3.7,3,1.0,1,3.0
4,P.J. Walker,CAR,3,6,1,6,2.0,0,0.0,0,
6,James Conner,ARI,10,39,3,19,1.9,20,2.0,1,10.0
7,Eno Benjamin,ARI,6,22,,11,1.8,11,1.8,0,
8,Chris Streveler,ARI,2,4,0,1,0.5,3,1.5,0,
9,Colt McCoy,ARI,1,-1,0,-1,-1.0,0,0.0,0,
10,Rondale Moore,ARI,1,1,,0,0.0,1,1.0,0,
