,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Dustin Colquitt,ATL,,,,,4,231,57.8,66
1,Younghoe Koo,ATL,,,1,1,0,0,,0
4,Lirim Hajrullahu,DAL,5,5,,,0,0,,0
5,Bryan Anger,DAL,,,,,4,190,47.5,60
