,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Michael Bandy,LAC,4,88,22.0,0,27,0,0,,0,0
1,Maurice Ffrench,LAC,1,17,17.0,0,17,0,0,,0,0
4,Jaylen Samuels,HOU,1,0,0.0,0,0,0,0,,0,0
