,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Cairo Santos,CHI,2,2,1,1,0,0,,0
1,Pat O'Donnell,CHI,,,,,3,135,45.0,64
4,Jason Myers,SEA,3,3,1,2,0,0,,0
5,Michael Dickson,SEA,,,,,4,148,37.0,41
