,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,DeAndre Carter,WAS,0,0,,0,0,2,14,7.0,0,7
3,CeeDee Lamb,DAL,0,0,,0,0,1,21,21.0,0,21
4,Corey Clement,DAL,1,20,20.0,0,20,0,0,,0,0
