,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Joey Slye,WAS,2,2,,,0,0,,0
1,Tress Way,WAS,,,,,6,308,51.3,56
4,Greg Zuerlein,DAL,8,8,,,0,0,,0
5,Bryan Anger,DAL,,,,,4,214,53.5,62
