,Player,Tm,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_1D,Re_YBC,Re_YBC/R,Re_YAC,Re_YAC/R,Re_ADOT,Re_BrkTkl,Rec/Br,Re_Drop,Re_DropPass%,Re_Int,Re_PassRating
0,Antonio Brown,TAM,15,10,101,0,8,85,8.5,16,1.6,9.7,0,,1,6.7,0,85.7
1,Cyril Grayson,TAM,3,3,81,0,2,38,12.7,43,14.3,12.7,0,,0,0.0,0,118.7
2,Ronald Jones II,TAM,3,2,16,0,0,0,0.0,16,8.0,0.0,0,,1,33.3,0,79.9
3,Cameron Brate,TAM,4,2,11,1,1,8,4.0,3,1.5,10.5,0,,0,0.0,0,95.8
4,Rob Gronkowski,TAM,2,1,23,0,1,18,18.0,5,5.0,10.5,0,,0,0.0,0,91.7
5,Ke'Shawn Vaughn,TAM,1,0,0,0,0,0,,0,,0.0,0,,1,100.0,0,39.6
6,Scott Miller,TAM,1,0,0,0,,0,,0,,19.0,0,,0,0.0,0,39.6
8,Robby Anderson,CAR,10,5,58,0,3,21,4.2,37,7.4,13.1,0,,0,0.0,0,67.9
9,D.J. Moore,CAR,12,5,55,0,3,35,7.0,20,4.0,10.1,0,,0,0.0,0,55.9
10,Shi Smith,CAR,5,3,86,0,2,44,14.7,42,14.0,12.0,0,,0,0.0,1,64.6
11,Ameer Abdullah,CAR,6,3,8,0,,0,0.0,8,2.7,4.2,0,,1,16.7,0,56.2
12,Reggie Bonnafon,CAR,2,2,12,0,1,3,1.5,9,4.5,1.5,0,,0,0.0,0,91.7
13,Tommy Tremble,CAR,2,2,22,0,1,7,3.5,15,7.5,3.5,0,,0,0.0,0,112.5
14,Terrace Marshall Jr.,CAR,1,1,6,0,,3,3.0,3,3.0,3.0,0,,0,0.0,0,91.7
15,Ian Thomas,CAR,1,1,4,0,,3,3.0,1,1.0,3.0,0,,0,0.0,0,83.3
16,Alex Erickson,CAR,1,0,0,0,,0,,0,,8.0,0,,0,0.0,0,39.6
17,Chuba Hubbard,CAR,1,0,0,0,0,0,,0,,-3.0,0,,0,0.0,0,39.6
18,Giovanni Ricci,CAR,1,0,0,0,,0,,0,,6.0,0,,0,0.0,0,39.6
19,Stephen Sullivan,CAR,1,0,0,0,,0,,0,,-2.0,0,,1,100.0,0,39.6
