,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Najee Harris,PIT,19,93,4,37,1.9,56,2.9,3,6.3
1,Benny Snell Jr.,PIT,5,20,1,9,1.8,11,2.2,1,5.0
2,Mason Rudolph,PIT,1,17,1,17,17.0,0,0.0,0,
4,Derrick Gore,KAN,12,43,3,18,1.5,25,2.1,1,12.0
5,Darrel Williams,KAN,11,55,3,35,3.2,20,1.8,0,
6,Clyde Edwards-Helaire,KAN,9,27,2,6,0.7,21,2.3,1,9.0
7,Chad Henne,KAN,2,0,,0,0.0,0,0.0,0,
8,Michael Burton,KAN,1,2,1,1,1.0,1,1.0,0,
