,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Brandon McManus,DEN,1,1,2,3,0,0,,0
1,Sam Martin,DEN,,,,,5,223,44.6,56
4,Daniel Carlson,LVR,2,2,1,1,0,0,,0
5,AJ Cole III,LVR,,,,,2,85,42.5,47
