,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Chris Naggar,CLE,1,2,1,1,0,0,,0
1,Dustin Colquitt,CLE,,,,,1,37,37.0,37
4,Mason Crosby,GNB,3,3,1,1,0,0,,0
5,Corey Bojorquez,GNB,,,,,5,235,47.0,56
