,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Donovan Peoples-Jones,CLE,0,0,,0,0,3,26,8.7,0,15
1,Demetric Felton,CLE,4,83,20.8,0,28,0,0,,0,0
4,Amari Rodgers,GNB,2,44,22.0,0,27,1,9,9.0,0,9
