,Player,Tm,PassCmp,PassAtt,PassYds,Pass1D,Pass1D%,PassIAY,PassIAY/PA,PassCAY,PassCAY/Cmp,PassCAY/PA,PassYAC,PassYAC/Cmp,PassDropPass,PassDropPass%,PassBadTh,PassBad%,PassSk,PassBlitz,PassHrry,PassHit,PassPrss,PassPrss%,PassScrm,PassYds/Scr
0,Josh Johnson,BAL,28,40,304,19,46.3,277,6.9,183,6.5,4.6,121,4.3,0,0.0%,6,16.2%,1,6,3,4,8,18.6%,2,5.5
2,Joe Burrow,CIN,37,46,525,26,53.1,373,8.1,269,7.3,5.8,256,6.9,2,4.3%,2,4.3%,3,11,3,2,8,16.0%,1,12.0
