,Player,Tm,PassCmp,PassAtt,PassYds,Pass1D,Pass1D%,PassIAY,PassIAY/PA,PassCAY,PassCAY/Cmp,PassCAY/PA,PassYAC,PassYAC/Cmp,PassDropPass,PassDropPass%,PassBadTh,PassBad%,PassSk,PassBlitz,PassHrry,PassHit,PassPrss,PassPrss%,PassScrm,PassYds/Scr
0,Taylor Heinicke,WAS,7,22,121,5,19.2,181,8.2,50,7.1,2.3,71,10.1,2,9.5%,8,38.1%,4,14,4,4,12,46.2%,0,
1,Kyle Allen,WAS,8,10,67,4,36.4,62,6.2,47,5.9,4.7,20,2.5,0,0.0%,1,10.0%,1,2,2,0,3,27.3%,0,
3,Dak Prescott,DAL,28,39,330,18,42.9,431,11.1,228,8.1,5.8,102,3.6,2,5.1%,7,17.9%,3,12,3,2,8,18.2%,2,8.5
4,Cooper Rush,DAL,2,3,70,2,66.7,7,2.3,9,4.5,3.0,61,30.5,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,
