,Player,Tm,PassCmp,PassAtt,PassYds,Pass1D,Pass1D%,PassIAY,PassIAY/PA,PassCAY,PassCAY/Cmp,PassCAY/PA,PassYAC,PassYAC/Cmp,PassDropPass,PassDropPass%,PassBadTh,PassBad%,PassSk,PassBlitz,PassHrry,PassHit,PassPrss,PassPrss%,PassScrm,PassYds/Scr
0,Tim Boyle,DET,24,34,187,11,32.4,230,6.8,102,4.3,3.0,85,3.5,0,0.0%,8,23.5%,0,3,2,2,4,11.8%,0,
1,Jack Fox,DET,1,1,21,1,100.0,8,8.0,8,8.0,8.0,13,13.0,0,0.0%,0,0.0%,0,1,0,0,0,0.0%,0,
3,Matt Ryan,ATL,18,24,215,10,37.0,179,7.5,139,7.7,5.8,76,4.2,1,4.5%,0,0.0%,3,8,2,1,6,22.2%,0,
