,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Dare Ogunbowale,JAX,17,57,4,31,1.8,26,1.5,0,
1,Trevor Lawrence,JAX,6,37,2,35,5.8,2,0.3,0,
2,Tavon Austin,JAX,3,21,1,20,6.7,1,0.3,0,
3,James Robinson,JAX,3,10,,6,2.0,4,1.3,0,
4,Nathan Cottrell,JAX,1,3,,0,0.0,3,3.0,1,1.0
5,Andrew Wingard,JAX,1,4,1,3,3.0,1,1.0,0,
7,Michael Carter,NYJ,16,118,5,83,5.2,35,2.2,2,8.0
8,Tevin Coleman,NYJ,14,57,3,25,1.8,32,2.3,4,3.5
9,Zach Wilson,NYJ,4,91,3,37,9.3,54,13.5,1,4.0
10,Braxton Berrios,NYJ,1,3,0,2,2.0,1,1.0,0,
11,Braden Mann,NYJ,1,4,,2,2.0,2,2.0,0,
