,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Josh Jacobs,LVR,16,63,1,31,1.9,32,2.0,2,8.0
1,Peyton Barber,LVR,6,3,1,1,0.2,2,0.3,0,
2,Marcus Mariota,LVR,3,16,2,11,3.7,5,1.7,0,
3,Zay Jones,LVR,1,-1,0,-1,-1.0,0,0.0,0,
4,Jalen Richard,LVR,1,4,1,2,2.0,2,2.0,0,
6,Jonathan Taylor,IND,20,108,7,58,2.9,50,2.5,2,10.0
7,Carson Wentz,IND,3,10,2,7,2.3,3,1.0,0,
8,Nyheim Hines,IND,2,4,0,3,1.5,1,0.5,0,
9,Deon Jackson,IND,1,0,,0,0.0,0,0.0,0,
