,Player,Tm,PassCmp,PassAtt,PassYds,Pass1D,Pass1D%,PassIAY,PassIAY/PA,PassCAY,PassCAY/Cmp,PassCAY/PA,PassYAC,PassYAC/Cmp,PassDropPass,PassDropPass%,PassBadTh,PassBad%,PassSk,PassBlitz,PassHrry,PassHit,PassPrss,PassPrss%,PassScrm,PassYds/Scr
0,Tom Brady,TAM,34,50,410,21,41.2,507,10.1,255,7.5,5.1,155,4.6,1,2.0%,11,22.4%,1,12,0,3,4,7.8%,0,
2,Zach Wilson,NYJ,19,33,234,14,41.2,242,7.3,86,4.5,2.6,148,7.8,1,3.3%,7,23.3%,1,17,6,3,10,29.4%,0,
