,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Michael Palardy,MIA,,,,,4,147,36.8,42
1,Jason Sanders,MIA,,,1,2,0,0,,0
4,Randy Bullock,TEN,4,4,2,2,0,0,,0
5,Brett Kern,TEN,,,,,4,177,44.3,52
