,Player,Tm,PassCmp,PassAtt,PassYds,Pass1D,Pass1D%,PassIAY,PassIAY/PA,PassCAY,PassCAY/Cmp,PassCAY/PA,PassYAC,PassYAC/Cmp,PassDropPass,PassDropPass%,PassBadTh,PassBad%,PassSk,PassBlitz,PassHrry,PassHit,PassPrss,PassPrss%,PassScrm,PassYds/Scr
0,Baker Mayfield,CLE,16,38,185,8,17.0,263,6.9,114,7.1,3.0,71,4.4,5,13.5%,7,18.9%,9,9,5,2,16,33.3%,1,14.0
2,Ben Roethlisberger,PIT,24,46,123,10,20.8,283,6.2,40,1.7,0.9,83,3.5,2,4.3%,12,26.1%,2,14,7,3,12,25.0%,0,
